#{"t_start": 1758103160.906848, "env_id": "MountainCar-v0"}
r,l,t
-116.0,116,52.700657
-182.0,182,52.748878
-153.0,153,52.793633
-171.0,171,52.841312
-150.0,150,52.880775
-159.0,159,52.924606
-200.0,200,52.983786
-155.0,155,53.033337
-200.0,200,53.099486
-185.0,185,53.155295
-113.0,113,53.192185
-165.0,165,53.244626
-200.0,200,53.302047
-200.0,200,53.363997
-132.0,132,53.40408
-200.0,200,53.462127
-200.0,200,53.524974
-158.0,158,53.572501
-181.0,181,53.626146
-162.0,162,53.675003
-147.0,147,53.720538
-184.0,184,53.781137
-157.0,157,53.829908
-171.0,171,53.876142
-155.0,155,53.9247
-104.0,104,53.955798
-94.0,94,53.986886
-159.0,159,54.032918
-151.0,151,54.078804
-172.0,172,54.125462
-158.0,158,54.172311
-174.0,174,54.220658
-171.0,171,54.268975
-155.0,155,54.314873
-94.0,94,54.340236
-200.0,200,54.399392
-157.0,157,54.447658
-200.0,200,54.506071
-156.0,156,54.555756
-162.0,162,54.601955
-153.0,153,54.645534
-159.0,159,54.689476
-159.0,159,54.736538
-155.0,155,54.779689
-175.0,175,54.833261
-154.0,154,54.878081
-95.0,95,54.905974
-158.0,158,54.951822
-200.0,200,55.004657
-164.0,164,55.048679
-155.0,155,55.095619
-153.0,153,55.140875
-200.0,200,55.193854
-157.0,157,55.237376
-200.0,200,55.292545
-200.0,200,55.350611
-200.0,200,55.403727
-200.0,200,55.459869
-200.0,200,55.51651
-94.0,94,55.543292
-200.0,200,55.599985
-200.0,200,55.652635
-160.0,160,55.697969
-200.0,200,55.756298
-200.0,200,55.812019
-165.0,165,55.860468
-200.0,200,55.915523
-171.0,171,55.964711
-200.0,200,56.020516
-163.0,163,56.069003
-88.0,88,56.095953
-143.0,143,56.142002
-200.0,200,56.203193
-200.0,200,56.268165
-200.0,200,56.330695
-200.0,200,56.39812
-200.0,200,56.459175
-200.0,200,56.526462
-200.0,200,56.592489
-100.0,100,56.624335
-200.0,200,56.681676
-200.0,200,56.740126
-200.0,200,56.796242
-200.0,200,56.854229
-200.0,200,56.907318
-200.0,200,56.963721
-200.0,200,57.024614
-200.0,200,57.09005
-200.0,200,57.152813
-200.0,200,57.219119
-200.0,200,57.279629
-200.0,200,57.341812
-200.0,200,57.401228
-200.0,200,57.463651
-200.0,200,57.523419
-200.0,200,57.585853
-200.0,200,57.644503
-200.0,200,57.704151
-200.0,200,57.766484
-188.0,188,57.824578
-200.0,200,57.882817
-199.0,199,57.944487
-119.0,119,57.980049
-200.0,200,58.042998
-200.0,200,58.100718
-200.0,200,58.16241
-200.0,200,58.219874
-200.0,200,58.282378
-200.0,200,58.341139
-200.0,200,58.403044
-200.0,200,58.463238
-171.0,171,58.515476
-200.0,200,58.575707
-200.0,200,58.629313
-200.0,200,58.687091
-200.0,200,58.739888
-143.0,143,58.779112
-200.0,200,58.832199
-200.0,200,58.889271
-200.0,200,58.941487
-200.0,200,58.997847
-200.0,200,59.050491
-200.0,200,59.107863
-200.0,200,59.160509
-200.0,200,59.216745
-200.0,200,59.269585
-200.0,200,59.32717
-200.0,200,59.383184
-200.0,200,59.440686
-200.0,200,59.494839
-200.0,200,59.552568
-200.0,200,59.605235
-200.0,200,59.663929
-200.0,200,59.718628
-181.0,181,59.771811
-200.0,200,59.824286
-200.0,200,59.880625
-200.0,200,59.933107
-200.0,200,59.990293
-139.0,139,60.025966
-200.0,200,60.081292
-200.0,200,60.133548
-200.0,200,60.191038
-200.0,200,60.243109
-200.0,200,60.298723
-200.0,200,60.35137
-200.0,200,60.408797
-200.0,200,60.461206
-200.0,200,60.517054
-139.0,139,60.555716
-136.0,136,60.592303
-200.0,200,60.647914
-136.0,136,60.683021
-200.0,200,60.738978
-148.0,148,60.779937
-200.0,200,60.832849
-177.0,177,60.881764
-128.0,128,60.916614
-129.0,129,60.956273
-200.0,200,61.008644
-152.0,152,61.051408
-186.0,186,61.100025
-131.0,131,61.136951
-121.0,121,61.171657
-200.0,200,61.224269
-124.0,124,61.258786
-127.0,127,61.295268
-135.0,135,61.334103
-200.0,200,61.386874
-130.0,130,61.421767
-126.0,126,61.458367
-112.0,112,61.48915
-200.0,200,61.545083
-200.0,200,61.59782
-112.0,112,61.630872
-125.0,125,61.666572
-172.0,172,61.714246
-126.0,126,61.745741
-178.0,178,61.798981
-170.0,170,61.843528
